sampleNumber	sampleNameNumber	sampleName	treatment	time	replicate	antibody	readout	cv	quality
37	S037	A375	DMSO	1hr	rep2	Bad (phospho-Ser112)	1.601879259	0.034720192	Good
38	S038	A375	901	1hr	rep2	Bad (phospho-Ser112)	1.453067281	0.080031685	Good
39	S039	A375	4032	1hr	rep2	Bad (phospho-Ser112)	1.542876068	0.057940236	Good
40	S040	A375	combo	1hr	rep2	Bad (phospho-Ser112)	1.539846823	0.062186261	Good
41	S041	A375	DMSO	3.5hr	rep2	Bad (phospho-Ser112)	1.327354359	0.050813983	Good
42	S042	A375	901	6hr	rep2	Bad (phospho-Ser112)	1.102440745	0.027435113	Good
43	S043	A375	4032	6hr	rep2	Bad (phospho-Ser112)	1.118877997	0.038448507	Good
44	S044	A375	combo	6hr	rep2	Bad (phospho-Ser112)	1.094532043	0.020529758	Good
45	S045	A375	DMSO	24hr	rep2	Bad (phospho-Ser112)	1.47455065	0.064704818	Good
46	S046	A375	901	24hr	rep2	Bad (phospho-Ser112)	1.040209767	0.031448027	Good
47	S047	A375	4032	24hr	rep2	Bad (phospho-Ser112)	1.186310066	0.062197904	Good
48	S048	A375	combo	24hr	rep2	Bad (phospho-Ser112)	1.364603483	0.049534874	Good
1	S001	A2058 	DMSO	1hr	rep1	beta-Catenin	4.286475968	0.034351063	Good
2	S002	A2058 	901	1hr	rep1	beta-Catenin	4.172606351	0.038955644	Undet.
3	S003	A2058 	4032	1hr	rep1	beta-Catenin	4.821040075	0.040829544	Good
4	S004	A2058 	combo	1hr	rep1	beta-Catenin	4.193183071	0.037501536	Good
5	S005	A2058 	DMSO	3.5hr	rep1	beta-Catenin	3.691349205	0.031339605	Good
6	S006	A2058 	901	6hr	rep1	beta-Catenin	3.473849883	0.033587657	Good
7	S007	A2058 	4032	6hr	rep1	beta-Catenin	3.353723441	0.037360229	Good
8	S008	A2058 	combo	6hr	rep1	beta-Catenin	2.529553252	0.031438555	Undet.
9	S009	A2058 	DMSO	24hr	rep1	beta-Catenin	3.714449332	0.029125049	Good
10	S010	A2058 	901	24hr	rep1	beta-Catenin	3.500432418	0.032067649	Undet.
11	S011	A2058 	4032	24hr	rep1	beta-Catenin	3.760634581	0.027594905	Good
12	S012	A2058 	combo	24hr	rep1	beta-Catenin	3.831539747	0.027340119	Good
