sampleNumber	sampleName	treatment	time	antibody	readout	cv	quality	normReadout
41	Mel133	901	24hr	EGFR-pY1068	0.657352054646775	0.0354131272829449	Good	2.68174263021324
42	Mel133	AK	24hr	EGFR-pY1068	0.57265118697109	0.0445343151834127	Good	1.98239531916793
43	Mel133	Nt	24hr	EGFR-pY1068	0.780548639520714	0.0353631153272577	Good	1.39887989397512
44	Mel133	PLX	24hr	EGFR-pY1068	0.842481805370501	0.0284055334484355	Good	2.50303139451719
45	Mel133	SR	24hr	EGFR-pY1068	0.995274517119655	0.0392152142132563	Good	2.3263096603914
46	Mel133	St	24hr	EGFR-pY1068	0.742884944067828	0.0445198985521848	Good	0.209419685019271
47	Mel133	Tm 	24hr	EGFR-pY1068	0.550332528040074	0.0408880366747225	Good	0.35059473841555
48	Mel133	991	24hr	EGFR-pY1068	0.865899015598539	0.0475731914821372	Good	0.153150282197786
49	Mel133	901	48hr	EGFR-pY1068	0.850101957578098	0.0425461866999436	Good	0.128995110818658
50	Mel133	AK	48hr	EGFR-pY1068	0.999743551961692	0.0455893104762721	Good	0.0887900512858972
51	Mel133	Nt	48hr	EGFR-pY1068	2.29881023037431	0.0704621837199449	Undet.	0.167878521440815
52	Mel133	PLX	48hr	EGFR-pY1068	1.27375771902122	0.0498667880667502	Good	0.0912676233426755
53	Mel133	SR	48hr	EGFR-pY1068	2.00313948811822	0.0715531405266628	Good	4.0264189904014
54	Mel133	St	48hr	EGFR-pY1068	2.32098247395209	0.0898835670926754	Poor	5.96391063844841
55	Mel133	Tm 	48hr	EGFR-pY1068	1.17079853117426	0.0726864378143685	Good	4.80169692849314
56	Mel133	991	48hr	EGFR-pY1068	1.71122987371462	0.0581123644343606	Good	8.07462508462975
57	Mel133	DMSO	5min	EGFR-pY1068	1.02542114568732	0.0639903520691387	Good	6.6702679744899
58	Mel133	DMSO	15min	EGFR-pY1068	0.94959810159763	0.0498693485613832	Good	5.1546058810956
59	Mel133	DMSO	30min	EGFR-pY1068	1.03806871688753	0.0433552349075379	Good	2.20155447977412
60	Mel133	DMSO	1hr	EGFR-pY1068	1.16829551858169	0.0548376835501298	Good	2.1548868118464
61	Mel133	DMSO	12hr	EGFR-pY1068	0.937614345134069	0.0528937066525709	Good	1.99311898375047
62	Mel133	DMSO	24hr	EGFR-pY1068	1.11038388862945	0.0433658217975107	Good	2.45742421535747
63	Mel133	DMSO	48hr	EGFR-pY1068	2.71695080619491	0.0754405743187402	Good	3.22123046491563
64	A2058	DMSO-2	mix	EGFR-pY1068	0.934283115249603	0.044597127236858	Good	1.48311431719115
65	Mel133	DMSO-2	mix	EGFR-pY1068	1.37852569376203	0.0345476257424769	Good	1.74625363680955
1	Mel133	901	5min	ERK1/2	3.04631356167928	0.0709884609973242	Good	29.0028016853818
2	Mel133	AK	5min	ERK1/2	3.25565982450274	0.0458556842096364	Good	27.9664024548998
3	Mel133	Nt	5min	ERK1/2	3.41220110855749	0.0529946622174475	Undet.	25.2650270447042
4	Mel133	PLX	5min	ERK1/2	2.76028954846239	0.050064339395458	Good	31.6643792605476
5	Mel133	SR	5min	ERK1/2	3.28613264639155	0.0529720817857413	Undet.	58.6265298708708
6	Mel133	St	5min	ERK1/2	3.38456216731425	0.0588467867482956	Undet.	3.05958031129702
7	Mel133	Tm 	5min	ERK1/2	2.40934121337108	0.0468346839005917	Good	3.68635617343336
8	Mel133	991	5min	ERK1/2	3.2959629001205	0.0586570930238548	Good	10.3182344566878
9	Mel133	901	15min	ERK1/2	2.70648672751931	0.0558593789455369	Undet.	0.724976836217905
10	Mel133	AK	15min	ERK1/2	2.40457726365993	0.0538816367747278	Good	6.22820071995944
11	Mel133	Nt	15min	ERK1/2	3.06846317522117	0.0462306151468181	Good	9.86806132860695
12	Mel133	PLX	15min	ERK1/2	3.41032217256474	0.0457760389857515	Undet.	1.29672770095874
13	Mel133	SR	15min	ERK1/2	2.98376609525287	0.0633324759293938	Good	0.91962879020723
14	Mel133	St	15min	ERK1/2	3.47235129032586	0.0529997904320814	Good	1.20773497677532
15	Mel133	Tm 	15min	ERK1/2	2.87301043239424	0.0915891812564412	Good	0.805285217293349
16	Mel133	991	15min	ERK1/2	3.10278576076028	0.0653388539085788	Good	0.826259873033336
17	Mel133	901	30min	ERK1/2	2.70159187726975	0.0625285016469427	Undet.	1.0579221713692
18	Mel133	AK	30min	ERK1/2	2.40342992563267	0.0689803063544337	Undet.	17.6215844530522
19	Mel133	Nt	30min	ERK1/2	3.02501578952743	0.0487183416000555	Undet.	17.9413087781084
20	Mel133	PLX	30min	ERK1/2	3.58108272934986	0.0533733640450365	Undet.	18.8957356042843
21	Mel133	SR	30min	ERK1/2	3.07018542861217	0.046329172419737	Undet.	17.2614531692326
22	Mel133	St	30min	ERK1/2	3.58765564128414	0.0930869141254574	Undet.	8.1707309286798
23	Mel133	Tm 	30min	ERK1/2	3.62721208414529	0.0391288364808122	Undet.	24.8624097510442
24	Mel133	991	30min	ERK1/2	2.75149356297705	0.0690447521345697	Undet.	6.91128058132106
25	Mel133	901	1hr	ERK1/2	3.48003790168215	0.0465466663936551	Good	13.5133939701932
26	Mel133	AK	1hr	ERK1/2	3.93104152244976	0.0900287973720721	Undet.	18.1982203670443
27	Mel133	Nt	1hr	ERK1/2	3.64019574265537	0.146750132366123	Undet.	11.8341716211894
28	Mel133	PLX	1hr	ERK1/2	3.33649726799809	0.0838778219114537	Undet.	18.2346991687838
29	Mel133	SR	1hr	ERK1/2	3.76684145412214	0.0649661253504379	Undet.	22.0041432987268
30	Mel133	St	1hr	ERK1/2	3.56373398444107	0.0797476076981561	Undet.	4.832201635732
31	Mel133	Tm 	1hr	ERK1/2	3.18671145388737	0.0567117487063538	Good	9.32041302139837
32	Mel133	991	1hr	ERK1/2	3.87498528789802	0.0648021050616823	Undet.	11.4723778638794
33	Mel133	901	12hr	ERK1/2	2.62396721758273	0.0765056147540571	Undet.	9.0464321163224
34	Mel133	AK	12hr	ERK1/2	2.02323345608602	0.0540908569797891	Undet.	9.82949320083457
35	Mel133	Nt	12hr	ERK1/2	2.89334124220951	0.0652075781541332	Undet.	15.053134343995
36	Mel133	PLX	12hr	ERK1/2	2.43462576629797	0.0618113924095308	Undet.	5.2448498149384
37	Mel133	SR	12hr	ERK1/2	2.11843703210976	0.0567656695467094	Undet.	6.24665329811134
38	Mel133	St	12hr	ERK1/2	2.17108198852063	0.0641010572994953	Undet.	4.00248733865543
39	Mel133	Tm 	12hr	ERK1/2	2.60095374438857	0.0980635579200544	Undet.	3.74358993677767
