sampleNumber	sampleName	treatment	time	antibody	readout	cv	quality	normReadout
48	A2058	991	24hr	MEK1/2-pS217/221	0.0931746051528794	0.094148740209396	Good	0.276836867234027
49	A2058	901	48hr	MEK1/2-pS217/221	0.223780473489505	0.0685010314228573	Undet.	0.502641391005697
50	A2058	AK	48hr	MEK1/2-pS217/221	0.173111200763294	0.135014066638913	Good	0.441727877563027
51	A2058	Nt	48hr	MEK1/2-pS217/221	0.308234773797868	0.0731020448798783	Good	0.970211420261894
52	A2058	PLX	48hr	MEK1/2-pS217/221	0.20530940813062	0.135821501547906	Good	0.526950079174776
53	A2058	SR	48hr	MEK1/2-pS217/221	0.267735357135558	0.081044819794181	Undet.	0.783404070046757
54	A2058	St	48hr	MEK1/2-pS217/221	0.244699819771344	0.0480277780543567	Undet.	0.863681283742222
55	A2058	Tm 	48hr	MEK1/2-pS217/221	0.195511036521927	0.0538460098318626	Good	0.510639779249938
56	A2058	991	48hr	MEK1/2-pS217/221	0.432130025944829	0.0794171437015666	Undet.	1.33910943149086
57	A2058	DMSO	5min	MEK1/2-pS217/221	0.262735045042439	0.187097659096009	Good	0.63901449421671
58	A2058	DMSO	15min	MEK1/2-pS217/221	0.205956864960716	0.0755607481148365	Good	0.515998009603377
59	A2058	DMSO	30min	MEK1/2-pS217/221	0.230541788716683	0.0882192848681711	Good	0.627729528507437
60	A2058	DMSO	1hr	MEK1/2-pS217/221	0.19819589935075	0.113103069455787	Undet.	0.526949812762995
61	A2058	DMSO	12hr	MEK1/2-pS217/221	0.176937194737094	0.1343784236461	Good	0.398371557425831
62	A2058	DMSO	24hr	MEK1/2-pS217/221	0.110158785942724	0.0687030422140863	Good	0.474590200693553
63	A2058	DMSO	48hr	MEK1/2-pS217/221	0.327930460345665	0.12849606359171	Good	1.2650775207647
64	A2058	DMSO-2	mix	MEK1/2-pS217/221	0.197561552633018	0.0489868279900342	Undet.	0.298298696764554
65	Mel133	DMSO-2	mix	MEK1/2-pS217/221	0.173739339115352	0.111006917944038	Good	0.262329475265436
1	A2058	901	5min	MET	1.73560057443538	0.243297120079869	Undet.	3.5759505878844
2	A2058	AK	5min	MET	1.85352567861292	0.15181144267926	Undet.	3.48126077014181
3	A2058	Nt	5min	MET	1.38144389118624	0.294575343597091	Undet.	2.69726419893571
