AntibodyLabel,Source,NodeName,Gene_Symbol,Sites,Effect
AXL,MDACC,AXL,AXL,NA,c
Axl,MDACC,AXL,AXL,NA,c
AXL_PT702,MDACC,AXL_pT702,AXL,T702,a
b.Actin,MSKCC,b.Actin,AURKB,NA,c
b.Actin,MSKCC,b.Actin,AURKB,NA,c
b.Actin.R.C_GBL1115228,MDACC,bActin,AURKA,NA,c
AZIN1,MDACC,AZIN1,AZIN1,NA,c
B7.H3,MDACC,B7H3,CD276,NA,c
B7H3,MDACC,B7H3,CD276,NA,c
B7H4,MDACC,VTCN1,VTCN1,NA,c
B7.H4,MDACC,VTCN1,VTCN1,NA,c
beta.Catenin_PS33,MDACC,Bcatenin_pS33,CTNNB1,S33,i
B.Catenin_pS33,MDACC,BCateninpS33,CTNNB1,S33,i
b.Catenin_pS33_C,MDACC,BCateninpS33,CTNNB1,S33,i
B.Catenin_pS33_RS00273497,MDACC,BCateninpS33,CTNNB1,S33,i
b.Catenin_pT41_S45,MDACC,bCateninpT41S45,CTNNB1,T41|S45,a
b.Catenin_pT41_S45.R.V_GBL1033855,MDACC,bCateninpT41S45,CTNNB1,T41|S45,a
b.Catenin_pT41_S45.R.V_GBL1113316,MDACC,bCateninpT41S45,CTNNB1,T41|S45,a
b.Catenin_pT41_S45.wR.V_GBL1115129,MDACC,bCateninpT41S45,CTNNB1,T41|S45,a
beta.Catenin_PS33_S37_T41,MDACC,bCatenin_pS33S37T41,CTNNB1,S33|S37|T41,NA
B.Catenin_RS00273592,MDACC,BCatenin,CTNNB1,NA,c
B.Catenin_RS00275590,MDACC,BCatenin,CTNNB1,NA,c
b.Catenin,MDACC,BCatenin,CTNNB1,NA,c
B.Catenin,MDACC,bCatenin,CTNNB1,NA,c
b.Catenin_V,MDACC,bCatenin,CTNNB1,NA,c
b.Catenin.R.V_GBL1033680,MDACC,bCatenin,CTNNB1,NA,c
b.Catenin.R.V_GBL1113159,MDACC,bCatenin,CTNNB1,NA,c
b.Catenin.R.V_GBL1114862,MDACC,bCatenin,CTNNB1,NA,c
b.Catenin(V)_GBL9008600,MDACC,bCatenin,CTNNB1,NA,c
B.Raf_pS445,MDACC,bRAFpS445,BRAF,S445,a
b.RAF_pS445,MDACC,bRAFpS445,BRAF,S445,a
b.RAF_pS445_GBL9008382,MDACC,bRAFpS445,BRAF,S445,a
B.Raf_pS445.R.V_GBL1033685,MDACC,BRafpS445,BRAF,S445,a
B.Raf_pS445.R.V_GBL1113180,MDACC,BRafpS445,BRAF,S445,a
B.Raf_pS445.R.V_GBL1114878,MDACC,BRafpS445,BRAF,S445,a
B.Raf.M.C_GBL1033932,MDACC,BRaf,BRAF,NA,c
B.Raf.M.C_GBL1113382,MDACC,BRaf,BRAF,NA,c
B.Raf.M.DNU,MDACC,BRafMDNU,BRAF,NA,c
B.Raf.M.DNU_GBL.9012898,MDACC,BRafMDNU,BRAF,NA,c
B.Raf.M.DNU_GBL.9014280,MDACC,BRafMDNU,BRAF,NA,c
B.Raf,MDACC,BRaf,BRAF,NA,c
B.Raf,MDACC,BRaf,BRAF,NA,c
B.Raf.R.V_GBL1114864,MDACC,BRaf,BRAF,NA,c
b.RAF(mouse)_GBL9008385,MDACC,bRAF,BRAF,NA,c
b.RAF(mouse)(V)_GBL9007887,MDACC,bRAF,BRAF,NA,c
BAD_P90RSK_PT359_S363,MDACC,NA,NA,NA,c
Bad (phospho.Ser112),MSKCC,Bad_pS112,BAD,S112,i
BAD_PS112,MDACC,BadpS112,BAD,S112,a
Bad_pS112,MDACC,BadpS112,BAD,S112,a
BAD_pS112_C,MDACC,BadpS112,BAD,S112,a
Bad_pS112.R.V_GBL1033677,MDACC,BadpS112,BAD,S112,a
Bad_pS112.R.V_GBL1113156,MDACC,BadpS112,BAD,S112,a
Bad_pS112.R.V_GBL1114860,MDACC,BadpS112,BAD,S112,a
Bad_pS112.R.V_GBL9026336,MDACC,BadpS112,BAD,S112|S118,a
BAD_pS112,MDACC,BADpS112,BAD,S112,a
BAD_pS112(C)_GBL9007892,MDACC,BADpS112,BAD,S112,a
BAK_C,MDACC,Bak,BAK1,NA,c
Bak.R.C_GBL.9013815,MDACC,Bak,BAK1,NA,c
Bak.R.C_GBL1033678,MDACC,Bak,BAK1,NA,c
BAK,MDACC,Bak,BAK1,NA,c
Bak,MDACC,Bak,BAK1,NA,c
Bak.R.C_GBL1113416,MDACC,Bak,BAK1,NA,c
Bak.R.C_GBL9026182,MDACC,Bak,BAK1,NA,c
Bak.wR.C_GBL1115097,MDACC,Bak,BAK1,NA,c
BAK(C)_GBL9007893,MDACC,BAK,BAK1,NA,c
BAP1,MDACC,BAP1,BAP1,NA,c
BAP1.M.V_GBL1033930,MDACC,BAP1,BAP1,NA,c
BAP1.M.V_GBL1113396,MDACC,BAP1,BAP1,NA,c
BAP1.M.V_GBL1115082,MDACC,BAP1,BAP1,NA,c
BAX,MSKCC,Bax,BAX,NA,c
Bax,MSKCC,Bax,BAX,NA,c
BAX_C,MDACC,Bax,BAX,NA,c
Bax.R.V_GBL.9013816,MDACC,Bax,BAX,NA,c
Bax.R.V_GBL1033679,MDACC,Bax,BAX,NA,c
Bax.R.V_GBL1113158,MDACC,Bax,BAX,NA,c
Bax.R.V_GBL1114861,MDACC,Bax,BAX,NA,c
Bax.R.V_GBL9026183,MDACC,Bax,BAX,NA,c
BAX(C)_GBL9007894,MDACC,BAX,BAX,NA,c
BCl2,MSKCC,Bcl2,BCL2,NA,c
BCL2,MSKCC,Bcl2,BCL2,NA,c
Bcl.2,MSKCC,Bcl2,BCL2,NA,c
Bcl.2.M.V_GBL.9012878,MDACC,Bcl2,BCL2,NA,c
Bcl.2.M.V_GBL9026303,MDACC,Bcl2,BCL2,NA,c
BCL2_PS70,MDACC,Bcl2_pS70,BCL2,S70,i
BCl.X,MDACC,BclX,BCL2L1,NA,c
Bcl.X,MDACC,BclX,BCL2L1,NA,c
Bcl.X.R.C_GBL9026338,MDACC,BclX,BCL2L1,NA,c
Bcl.X.R.V_GBL.9012872,MDACC,BclX,BCL2L1,NA,c
BCl.X(C)_GBL9007895,MDACC,BClX,BCL2L1,NA,c
